Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7.3,7.15,6.633333333333333,6.916666666666667,6.3,5.933333333333334,5.983333333333333,6.316666666666666,6.7,7.083333333333333,7.516666666666667,7.0
2,7.3,7.133333333333334,6.616666666666667,6.9,6.283333333333333,5.933333333333334,6.0,6.333333333333333,6.716666666666667,7.083333333333333,7.533333333333333,7.016666666666667
3,7.3,7.116666666666666,6.583333333333333,6.883333333333333,6.266666666666667,5.933333333333334,6.0,6.35,6.733333333333333,7.1,6.55,7.016666666666667
4,7.3,7.1,6.566666666666666,6.85,6.25,5.933333333333334,6.016666666666667,6.35,6.75,7.116666666666666,6.566666666666666,7.033333333333333
5,7.3,7.083333333333333,6.55,6.833333333333333,6.233333333333333,5.916666666666667,6.016666666666667,6.366666666666666,6.75,7.133333333333334,6.583333333333333,7.05
6,7.3,7.083333333333333,6.516666666666667,6.8,6.216666666666667,5.916666666666667,6.033333333333333,6.383333333333334,6.766666666666667,7.15,6.6,7.066666666666666
7,7.3,7.066666666666666,6.5,6.783333333333333,6.2,5.916666666666667,6.033333333333333,6.4,6.783333333333333,7.15,6.616666666666667,7.083333333333333
8,7.3,7.05,6.483333333333333,6.766666666666667,6.183333333333334,5.916666666666667,6.05,6.4,6.8,7.166666666666667,6.633333333333333,7.1
9,7.3,7.033333333333333,6.45,6.733333333333333,6.166666666666667,5.916666666666667,6.05,6.416666666666667,6.8,7.183333333333334,6.65,7.1
10,7.3,7.016666666666667,7.433333333333334,6.716666666666667,6.15,5.916666666666667,6.066666666666666,6.433333333333334,6.816666666666666,7.2,6.666666666666667,7.116666666666666
11,7.3,7.0,7.416666666666667,6.7,6.133333333333334,5.916666666666667,6.083333333333333,6.45,6.833333333333333,7.216666666666667,6.683333333333334,7.133333333333334
12,7.3,6.983333333333333,7.383333333333334,6.666666666666667,6.133333333333334,5.916666666666667,6.083333333333333,6.466666666666667,6.833333333333333,7.216666666666667,6.7,7.15
13,7.3,6.966666666666667,7.366666666666666,6.65,6.116666666666666,5.916666666666667,6.1,6.466666666666667,6.85,7.233333333333333,6.716666666666667,7.15
14,7.283333333333333,6.95,7.35,6.633333333333333,6.1,5.916666666666667,6.1,6.483333333333333,6.866666666666667,7.25,6.733333333333333,7.166666666666667
15,7.283333333333333,6.933333333333334,7.316666666666666,6.616666666666667,6.083333333333333,5.916666666666667,6.116666666666666,6.5,6.883333333333333,7.266666666666667,6.75,7.183333333333334
16,7.283333333333333,6.916666666666667,7.3,6.583333333333333,6.066666666666666,5.916666666666667,6.133333333333334,6.516666666666667,6.883333333333333,7.283333333333333,6.766666666666667,7.183333333333334
17,7.283333333333333,6.9,7.266666666666667,6.566666666666666,6.066666666666666,5.916666666666667,6.133333333333334,6.516666666666667,6.9,7.3,6.783333333333333,7.2
18,7.266666666666667,6.883333333333333,7.25,6.55,6.05,5.916666666666667,6.15,6.533333333333333,6.916666666666667,7.3,6.783333333333333,7.2
19,7.266666666666667,6.85,7.233333333333333,6.533333333333333,6.033333333333333,5.916666666666667,6.166666666666667,6.55,6.933333333333334,7.316666666666666,6.8,7.216666666666667
20,7.266666666666667,6.833333333333333,7.2,6.5,6.033333333333333,5.933333333333334,6.166666666666667,6.566666666666666,6.933333333333334,7.333333333333333,6.816666666666666,7.216666666666667
51,7.25,6.816666666666666,7.183333333333334,6.483333333333333,6.016666666666667,5.933333333333334,6.183333333333334,6.566666666666666,6.95,7.35,6.833333333333333,7.233333333333333
22,7.25,6.8,7.15,6.466666666666667,6.016666666666667,5.933333333333334,6.2,6.583333333333333,6.966666666666667,7.366666666666666,6.85,7.233333333333333
23,7.233333333333333,6.783333333333333,7.133333333333334,6.45,6.0,5.933333333333334,6.216666666666667,6.6,6.983333333333333,7.383333333333334,6.866666666666667,7.25
24,7.233333333333333,6.766666666666667,7.116666666666666,6.433333333333334,6.0,5.95,6.216666666666667,6.616666666666667,6.983333333333333,7.4,6.883333333333333,7.25
25,7.216666666666667,6.733333333333333,7.083333333333333,6.4,5.983333333333333,5.95,6.233333333333333,6.616666666666667,7.0,7.416666666666667,6.9,7.266666666666667
26,7.216666666666667,6.716666666666667,7.066666666666666,6.383333333333334,5.983333333333333,5.95,6.25,6.633333333333333,7.016666666666667,7.433333333333334,6.916666666666667,7.266666666666667
27,7.2,6.7,7.033333333333333,6.366666666666666,5.966666666666667,5.966666666666667,6.25,6.65,7.033333333333333,7.433333333333334,6.933333333333334,7.266666666666667
28,7.183333333333334,6.683333333333334,7.016666666666667,6.35,5.966666666666667,5.966666666666667,6.266666666666667,6.666666666666667,7.033333333333333,7.45,6.95,7.283333333333333
29,7.183333333333334,6.65,7.0,6.333333333333333,5.95,5.966666666666667,6.283333333333333,6.666666666666667,7.05,7.466666666666667,6.966666666666667,7.283333333333333
30,7.166666666666667,,6.966666666666667,6.316666666666666,5.95,5.983333333333333,6.3,6.683333333333334,7.066666666666666,7.483333333333333,6.983333333333333,7.283333333333333
31,7.15,,6.95,,5.95,,6.3,6.7,,7.5,,7.283333333333333
